,1년간여행여부,1년간여가/문화활동,1년간교육학습,친목단체참여여부,자원봉사경험유무,종교종류,가장중요한활동,현재경제활동여부,향후근로희망여부,노인일자리참여여부,노인일자리참여의향,향후참여하고싶은유형
1972,2,1,1,2,2,3,3,1,2,4,1,1
1976,2,1,1,2,2,1,7,1,2,3,1,1
1978,1,1,2,2,2,2,3,1,2,4,1,1
1979,2,1,2,2,2,2,7,1,2,1,1,3
1983,2,1,2,2,2,1,3,1,2,3,1,1
1984,1,1,2,2,2,1,7,1,2,4,1,1
1987,2,1,1,2,2,1,7,1,2,4,1,1
1990,2,1,2,2,2,1,7,2,4,4,1,3
1996,2,1,2,2,2,2,7,2,1,2,1,1
2000,2,1,2,2,2,1,3,2,1,4,1,1
2001,1,1,2,2,2,1,7,1,2,1,1,1
2002,2,2,2,2,2,1,7,2,1,4,1,5
2008,1,1,2,2,2,3,4,2,1,4,1,1
2010,2,1,2,2,2,2,7,1,2,1,1,3
2017,2,1,1,2,2,1,4,2,4,3,1,1
2019,2,1,2,2,2,1,7,2,1,4,1,5
2027,2,1,2,1,2,1,7,1,2,4,1,3
2038,2,1,2,2,2,2,3,1,2,4,1,1
2044,2,1,2,2,2,1,7,1,2,1,1,1
2047,2,1,2,2,2,2,7,2,3,4,1,3
2051,2,1,2,2,2,2,7,1,2,2,1,5
2053,2,1,2,2,2,2,7,1,2,1,1,2
2056,1,1,2,2,2,1,7,1,2,4,1,2
2059,2,1,2,2,2,2,3,2,1,1,1,1
2071,2,1,2,2,2,2,7,2,3,4,1,1
2072,2,2,2,2,2,1,3,2,1,4,1,1
